327952,280242,1.553564432856486e+18,2022-07-31 02:13:19+00:00,@PremiumTimesng Didn't you see Osun election result? While PDP were reading four hundred thousand and APC three hun… https://t.co/1wUE3VdhkP,2,osun election result pdp read thousand apc hun,0.0,0.0,None,PDP
327953,280243,1.5535644023932723e+18,2022-07-31 02:13:12+00:00,"@kamalofLagos @YusufDattiBaba Apc has quite a huge population in Anambra state compared to other parties. However,… https://t.co/sieLJBjWn0",0,apc huge population anambra state compare party,0.9,0.4000000000000001,None,APC
327957,280247,1.5535642472877425e+18,2022-07-31 02:12:35+00:00,"APC Late Model Series | Race#6 | Sauble Speedway | July 130, 2022 https://t.co/4Gbusg03bh @YouTubeより",0,apc late model series race sauble speedway july,0.6,-0.3,None,APC
327961,280251,1.5535641898426122e+18,2022-07-31 02:12:21+00:00,@MarvinPlim Hour church is an APC church so no tnx,0,hour church apc church tnx,0.0,0.0,None,APC
327963,280253,1.5535641475346596e+18,2022-07-31 02:12:11+00:00,@PremiumTimesng @iyke_nwabuko 2015 during PMB I was living in lagos 95% of yorubas supported APC coz of Osinbajo th… https://t.co/Pun5GyhiC1,0,pmb live lagos yorubas support apc coz osinbajo,0.5,0.13636363636363635,None,APC
327966,280256,1.5535639052508078e+18,2022-07-31 02:11:13+00:00,"@TawfeeqOlolade Even if Igbos didn't vote at all in Lagos, Peter Obi will still win apc in Lagos...Yorubas that wan… https://t.co/UfUo7um6r1",0,igbos vote lagos peter obi win apc lagos yorubas wan,0.275,0.30000000000000004,PeterObi,APC
327968,280258,1.553563836690694e+18,2022-07-31 02:10:57+00:00,"RT @Baianoanfield: @woye1 Your party went for Muslim vs Muslim ticket n u defended it with ur full chest,suddenly ur crying about the Chris…",3,party go muslim muslim ticket defend chest suddenly cry chris,0.5,0.0,None,None
327976,280266,1.5535636120100086e+18,2022-07-31 02:10:03+00:00,SWEDISH DYNAMICS SAAB APC &amp; FI = 40+ HP Gain: 1986-1993 900 &amp; 1986-1989 9000 https://t.co/BylYjeonfT eBay https://t.co/BF522gHCeF,0,swedish dynamics saab apc amp gain amp ebay,0.0,0.0,None,APC
327977,280267,1.553563505021829e+18,2022-07-31 02:09:38+00:00,RT @kayzone2260: @Saintmureign @damoche @4eyedmonk Then you should go read up Nigeria and Paris club debt forgiveness first b4 you come her…,11,eyedmonk read nigeria paris club debt forgiveness come,0.0,0.0,None,None
327978,280268,1.5535635037048177e+18,2022-07-31 02:09:37+00:00,"I totally agree.A very unique,articulate and riveting Point Of View. A political smorgasbod...An APC OBIdient... SA… https://t.co/WXUcaTegIt",0,totally agree unique articulate rivet point view political smorgasbod apc obidient,0.6166666666666667,0.125,PeterObi,APC
327982,280272,1.5535634119963443e+18,2022-07-31 02:09:15+00:00,@BigMarrk @obiagwupaschal @PeterObi It's been a long time since I heard about PDP. All I have been hearing are Pete… https://t.co/XwqxTn6QmR,0,long time hear pdp hear pete,0.4,-0.05,None,PDP
327988,280278,1.5535633516446024e+18,2022-07-31 02:09:01+00:00,@IbukunTim Peter Obi is a decent guy but we need PDP to beat APC,0,peter obi decent guy need pdp beat apc,0.6666666666666666,0.16666666666666666,PeterObi,PDP
327989,280279,1.5535633217683497e+18,2022-07-31 02:08:54+00:00,"@zdbawa @AguEmma00676154 @renoomokri I hope u won't end up crying after voting for either APC, PDP P, NNPC just the… https://t.co/xa0WvOOzUn",0,hope win end cry vote apc pdp nnpc,0.4,0.8,None,APC
327990,280280,1.5535633193945252e+18,2022-07-31 02:08:53+00:00,"RT @ABATMediaCentre: Presidential Candidate of the All Progressives Congress (APC), Asiwaju Bola Ahmed Tinubu attended Senator Kashim Shett…",57,presidential candidate progressives congress apc asiwaju bola ahmed tinubu attend senator kashim shett,0.0,0.0,Tinubu,APC
327993,280283,1.5535632045125837e+18,2022-07-31 02:08:26+00:00,"May ordinary Nigerians win more and may APC with their evil agenda fail more...

Adijat
Amosun

#TakeBackNigeria",0,ordinary nigerians win apc evil agenda fail adijat amosun,0.5499999999999999,-0.2375,None,APC
327998,280288,1.553563144076857e+18,2022-07-31 02:08:12+00:00,Ryan Kimball and @J_R_Fitzpatrick both sent to the back after an incident with just a handful of laps to go. That t… https://t.co/4PhuEezpyz,0,ryan kimball send incident handful lap,0.0,0.0,None,None
