687049,127026,1.5556453103779471e+18,2022-08-05 20:01:59+00:00,You said you left APC because of Muslim-Muslim ticket only to join PDP to defend another Fulani taking over after Buhari's 8yrs? 😆,1,say leave apc muslim muslim ticket join pdp defend fulani take buhari yrs,0.0,0.0,None,PDP
687050,127027,1.5556453061502157e+18,2022-08-05 20:01:58+00:00,"RT @HARDEYRHEMMYMo1: After 4 years of @officialABAT and @KashimSM, if anybody come and mention religion to gain political point, such perso…",3,years anybody come mention religion gain political point perso,0.1,0.0,None,None
687059,127036,1.555645260696621e+18,2022-08-05 20:01:47+00:00,"@MobilePunch But you can borrow to loot, APC leaders are very wicked",0,borrow loot apc leaders wicked,0.0,0.0,None,APC
687062,127039,1.5556452507937833e+18,2022-08-05 20:01:44+00:00,"Was supposed to graduate this year o, COVID and strike said No
Looking forward to 2023
Asuu and FG said rara
2018 -… https://t.co/CLNAFqR1ln",0,suppose graduate year covid strike say look forward asuu say rara,0.0,0.0,None,None
687066,127043,1.555645243244122e+18,2022-08-05 20:01:43+00:00,@Dozie2103 @SmallAlhaji_ @officialABAT @OfficialAPCNg @akinalabi Akin Alabi to win in our constituency? Our candida… https://t.co/r3VwUoDfpl,0,akin alabi win constituency candida,0.4,0.8,None,None
687067,127044,1.5556452363067597e+18,2022-08-05 20:01:41+00:00,@EzeugoValentine @iEnemali @channelstv APC has finished Nigeria. Tinubu will not win,1,apc finish nigeria tinubu,0.0,0.0,Tinubu,APC
687073,127050,1.5556452083809812e+18,2022-08-05 20:01:34+00:00,@InyaliPeter Arsenal closed our APC Vs PDP gap,0,arsenal close apc pdp gap,0.0,0.0,None,APC
687079,127056,1.5556451724777308e+18,2022-08-05 20:01:26+00:00,@MrBanksOmishore @MBuhari @OfficialAPCNg How convenient it's for APC Leaders to Distance themselves from the 7 full… https://t.co/BiIg9FaNMb,5,convenient apc leaders distance,0.0,0.0,None,APC
687082,127059,1.5556451629231675e+18,2022-08-05 20:01:23+00:00,"Keyamo said ""let's go to the more critical issues"" 🤣
If APC wins in 2023, we deserve everything we get. https://t.co/dUhi1KnkVs",1,keyamo say let critical issue apc win deserve,0.6000000000000001,0.4,None,APC
687086,127063,1.5556451420984484e+18,2022-08-05 20:01:19+00:00,"@channelstv This guy is a liar
How can you say Lagos was nothing before 1999?
Howww???
Please let's be wise for onc… https://t.co/atp6x2VgS3",0,guy liar lagos howww let wise onc,0.9,0.7,None,None
